"","year","site_id","soil_id","yield","upper_60_clay_ave","upper_60_sand_ave","upper_60_silt_ave","upper_60_soc_ave","planting_date","precip","sandclayratio"
"1",2012,4,4975,4.60419270957165,181.333333333333,648.166666666667,170.5,35.3333333333333,"8/1",651.04,3.57444852941176
"2",2015,0,5342,0.270506713398697,156.666666666667,726.916666666667,116.416666666667,33.75,"7/26",258.59,4.63989361702128
"3",2018,3,3369,4.77877811141126,228.833333333333,615.75,155.416666666667,87.5,"8/1",761.01,2.69082301529497
"4",2001,0,5519,0,252.75,581,166.25,53.25,"7/21",209.95,2.29871414441147
"5",2001,0,5252,0,189.5,642.083333333333,167.666666666667,30.25,"8/16",190.48,3.38830255057168
"6",2013,0,5903,0.0674048834115311,382.5,267.5,350.25,73.8333333333333,"8/6",242.89,0.699346405228758
"7",2004,4,4564,4.4001144184804,318,354.333333333333,327.25,66.25,"8/1",419.9,1.11425576519916
"8",2004,6,2057,0.315839549260785,191.5,634.916666666667,173.583333333333,48.5,"8/11",246.93,3.31549173194082
"9",1987,6,2030,0.498135705200727,175.75,630,194,50.8333333333333,"8/11",262.75,3.58463726884779
"10",1993,0,5678,0,240,581.5,178.166666666667,47.75,"8/16",154.73,2.42291666666667
"11",2002,3,3024,4.02201447500231,286.5,428.916666666667,284.5,147.583333333333,"8/16",462.59,1.49709133216987
"12",2016,4,4801,4.05971133704872,288.75,428.916666666667,282.333333333333,82.9166666666667,"8/11",480.46,1.48542568542569
"13",2012,3,3552,4.96620860588911,243.75,566.166666666667,190.083333333333,82.8333333333333,"8/1",543.82,2.32273504273504
"14",1986,4,4426,3.80952638975219,293.416666666667,395.916666666667,310.416666666667,90.0833333333333,"8/1",426.08,1.34933257597274
"15",1983,4,4447,2.50299926310239,227.833333333333,576.75,195.333333333333,56.5833333333333,"7/21",317.16,2.53145574250183
"16",1981,0,5960,0.042494100345661,386.25,261.416666666667,352.083333333333,68.4166666666667,"8/16",137.71,0.67680690399137
"17",2000,3,3906,4.59938436724487,280.166666666667,446.75,272.583333333333,634.25,"8/1",624.52,1.59458655562165
"18",1998,4,4981,3.81540463500239,186.416666666667,669,144.583333333333,31.4166666666667,"8/11",505.12,3.58873491282968
"19",2012,3,3417,4.0318446862258,230.75,500.083333333333,269.083333333333,184.416666666667,"7/21",585.36,2.16720837847598
"20",1994,6,2171,3.55864805592781,161,684.5,154.75,54.1666666666667,"7/21",421.49,4.25155279503106
"21",2016,6,2804,1.57746278115259,156.833333333333,609.166666666667,233.5,91.1666666666667,"7/21",347.72,3.88416578108395
"22",1987,0,5813,0,174.75,690.75,134.166666666667,39.9166666666667,"7/21",196.02,3.95278969957082
"23",2013,4,4138,4.67842593210043,259.166666666667,452.083333333333,288.916666666667,51.0833333333333,"8/11",557.27,1.7443729903537
"24",1986,0,5120,0,133.833333333333,727.5,138.75,26.1666666666667,"8/21",170.21,5.43586550435866
"25",2002,0,5420,0,156.833333333333,659.083333333333,183.583333333333,45.8333333333333,"8/16",227.05,4.20244420828905
"26",1987,4,4561,2.79327395900426,315.416666666667,347.25,337.833333333333,51.5833333333333,"8/16",419.92,1.10092470277411
"27",2001,6,2468,0.359529137931243,229.75,608,162.416666666667,55.0833333333333,"8/11",267.34,2.64635473340588
"28",1997,0,5309,0.0591463822081461,172.25,655.916666666667,172.083333333333,43.25,"7/21",185.27,3.80793420416062
"29",2003,4,4261,1.7228627900518,310.416666666667,435.333333333333,254,68.5,"7/16",437.09,1.40241610738255
"30",2006,0,5318,0,190.666666666667,619.583333333333,190.25,38.75,"8/6",158.84,3.24956293706294
"31",2008,6,2540,1.61514740216004,141.25,795.916666666667,63.25,45.25,"8/21",273.65,5.63480825958702
"32",1993,3,3738,4.41149461780909,254.083333333333,511.5,234.416666666667,111.5,"7/26",582.79,2.01311905542801
"33",1994,4,4429,4.38937569169036,231.333333333333,614.583333333333,153.75,45.1666666666667,"8/1",572.67,2.65670028818444
"34",1989,0,5090,0.2715685150078,134.666666666667,764.333333333333,101.166666666667,28.3333333333333,"8/21",211.85,5.67574257425743
"35",1985,4,4837,4.48005196905658,311.666666666667,357.916666666667,330.583333333333,53,"7/26",561.6,1.14839572192513
"36",2008,3,3696,4.74379087970462,236.833333333333,550.166666666667,212.833333333333,50.5833333333333,"8/1",704.9,2.32301196340605
"37",2009,4,4573,4.37189201720802,338.5,309.5,351.5,75,"8/1",538.63,0.914327917282127
"38",1998,4,4501,1.46509326579784,340.75,355.5,303.833333333333,41.5833333333333,"7/21",576.26,1.0432868672047
"39",1998,3,3507,4.59827742069247,241.416666666667,594.583333333333,164.25,145.75,"8/6",616.68,2.46289264756645
"40",2018,6,2435,1.83261433336701,111.75,788.75,99.3333333333333,47.6666666666667,"8/11",323.2,7.05816554809843
"41",2015,3,3129,4.22638509464836,257.5,534.083333333333,208.416666666667,73.6666666666667,"7/16",635.12,2.07411003236246
"42",1986,4,4429,2.30672419266725,231.333333333333,614.583333333333,153.75,45.1666666666667,"7/21",431.9,2.65670028818444
"43",1999,4,4906,0.98379740419906,142.416666666667,709.416666666667,148.166666666667,29.75,"7/16",540.35,4.98127559976595
"44",1994,4,4183,1.62617068082293,331.166666666667,446.166666666667,222.916666666667,71.5833333333333,"7/16",532.34,1.3472571716155
"45",2008,4,4735,3.41240711446584,288.416666666667,368.916666666667,343.166666666667,74,"7/26",509.31,1.27911008379081
"46",1984,6,2822,0,105,806.583333333333,88.25,49.9166666666667,"7/21",155.26,7.68174603174603
"47",1999,6,2147,3.51303008185927,98.25,818.833333333333,82.4166666666667,46.75,"8/6",422.73,8.33418150975403
"48",1981,4,4471,4.74658801442723,308.916666666667,370.833333333333,320.083333333333,83.5833333333333,"7/26",390.57,1.20043161586188
"49",2005,0,5639,0.138846491933557,290.416666666667,486.583333333333,222.833333333333,43.8333333333333,"7/26",253.92,1.67546628407461
"50",1984,4,4507,2.94571915235301,308.25,451.25,240.75,67,"8/1",404.28,1.46390916463909
"51",2005,3,3483,4.6996800612398,263.583333333333,484.75,252.416666666667,82,"8/16",530.69,1.83907682579829
"52",2001,3,3699,4.69444912515498,301.25,399,299.916666666667,196.25,"8/11",453.59,1.32448132780083
"53",2011,6,2771,1.97492893530329,163.833333333333,598.166666666667,238.166666666667,47.3333333333333,"7/21",302.74,3.65106815869786
"54",1990,6,2975,0,207.75,659.25,132.916666666667,148.166666666667,"8/21",208.15,3.17328519855596
"55",1991,6,2006,0.787015737652296,137.416666666667,759.333333333333,103.166666666667,47.3333333333333,"7/21",272.89,5.52577319587629
"56",1997,0,5867,0.182830281272367,182.166666666667,701.666666666667,116.166666666667,33.5,"8/16",215.41,3.85178408051235
"57",2003,0,5216,0.0945649118516395,144.666666666667,726.5,128.666666666667,28.9166666666667,"7/21",262.8,5.02188940092166
"58",1995,6,2756,0,139.75,585.416666666667,275.25,44.8333333333333,"8/16",151.14,4.18902802623733
"59",2013,3,3423,2.71932513229273,265.25,498.083333333333,236.833333333333,143.5,"7/16",568.46,1.87778825007854
"60",1986,0,5777,0.0209134515946053,160.25,717.5,122.083333333333,40.25,"8/21",170.21,4.47737909516381
"61",1983,6,2474,0,139.166666666667,757.333333333333,103.666666666667,58.8333333333333,"8/21",138.12,5.44191616766467
"62",2004,4,4591,4.36937706119213,281.583333333333,474.166666666667,244.25,67.5833333333333,"8/1",419.9,1.68393015685114
"63",2018,6,2081,0.537373711962477,226.75,640.083333333333,133.083333333333,66.25,"7/26",350.3,2.8228592429254
"64",2012,4,4012,4.12319936605443,321.333333333333,345.166666666667,332.75,53.9166666666667,"7/21",618.97,1.07417012448133
